DOCUMENTO,ORGANIZACION,FECHA,TIPOFACTURA,PRODUCTO,CANTIDAD,PRECIO,IMPORTEMONTRANSACCION,MONEDA
B-0001-00000087,Rodrigo Vidal,18/10/18,Factura,Parlantes para PC,20000,1000,20000000,Pesos Argentinos
A-0001-00000172,Manganello S.R.L,15/10/18,Factura,Televisor Led Samsung 32  Hd Con Soporte Y Control,200000,5587,1117400000,Pesos Argentinos
A-0001-00000171,Ignition S.A.C.I,11/10/18,Factura,Servicios Profesionales,10000,68500,685000000,Pesos Argentinos
A-0001-00000170,Amazon Group,5/10/18,Factura,Honorarios,10000,50550,505500000,Pesos Argentinos
A-0001-00000170,Amazon Group,5/10/18,Factura,Publicidad y Marketing,30000,7400,222000000,Pesos Argentinos
B-0001-00000086,Valeria Welponer,3/10/18,Factura,Impresora Multifuncion ,10000,4300,43000000,Pesos Argentinos
B-0001-00000086,Valeria Welponer,3/10/18,Factura,Insumos oficina,10000,124,1239700,Pesos Argentinos
A-0001-00000002,Berker S.R.L,3/10/18,Nota de Crédito,Publicidad y Marketing,100000,7400,740000000,Pesos Argentinos
A-0001-00000169,Nicolasen y Asociados S.A.,1/10/18,Factura,Consultoria Digital,10000,6300,63000000,Pesos Argentinos
A-0001-00000001,Amazon Group,1/10/18,Nota de Crédito,Consultoría,10000,43000,430000000,Pesos Argentinos
A-0001-00000168,Amazon Group,25/9/18,Factura,Consultoría,10000,43000,430000000,Pesos Argentinos
A-0001-00000167,Klarkson,21/9/18,Factura,Servicios Profesionales,10000,89500,895000000,Pesos Argentinos
A-0001-00000166,Berker S.R.L,10/9/18,Factura,Publicidad y Marketing,100000,7400,740000000,Pesos Argentinos
A-0001-00000165,Campomas S.A.,9/9/18,Factura,Consultoría,10000,20000,200000000,Pesos Argentinos
A-0001-00000164,Hernandez S.A.,6/9/18,Factura,Materia Prima Importada,10000,20000,200000000,Pesos Argentinos
B-0001-00000085,Rodrigo Vidal,6/9/18,Factura,Impresora Multifuncion ,10000,4300,43000000,Pesos Argentinos
B-0001-00000085,Rodrigo Vidal,6/9/18,Factura,Parlantes para PC,10000,1000,10000000,Pesos Argentinos
B-0001-00000085,Rodrigo Vidal,6/9/18,Factura,Modem Router,10000,579,5785100,Pesos Argentinos
A-0001-00000001,Jameson SRL,5/9/18,Nota de Débito,Intereses por Mora,10000,700,7000000,Pesos Argentinos
A-0001-00000163,Galardon S.A.,1/9/18,Factura,Consultoria Web,10000,5890,58900000,Pesos Argentinos
A-0001-00000162,Jameson SRL,31/8/18,Factura,Intereses por Mora,10000,28500,285000000,Pesos Argentinos
A-0001-00000161,Nicolasen y Asociados S.A.,30/8/18,Factura,Publicidad y Marketing,10000,24600,246000000,Pesos Argentinos
B-0001-00000084,Etigand S.A.,29/8/18,Factura,Consultoria Digital,10000,73141,731405000,Pesos Argentinos
A-0001-00000160,Donadelli S.R.L,26/8/18,Factura,Publicidad y Marketing,10000,26000,260000000,Pesos Argentinos
B-0001-00000083,Javier Moroni,21/8/18,Factura,Honorarios,10000,20661,206611600,Pesos Argentinos
A-0001-00000159,Hernandez S.A.,14/8/18,Factura,Consultoria Digital,10000,42000,420000000,Pesos Argentinos
A-0001-00000158,Manganello S.R.L,8/8/18,Factura,Impresora Multifuncion ,50000,2500,125000000,Pesos Argentinos
A-0001-00000157,Nicolasen y Asociados S.A.,4/8/18,Factura,PC,70000,8500,595000000,Pesos Argentinos
B-0001-00000082,Javier Moroni,1/8/18,Factura,Publicidad y Marketing,10000,37190,371900800,Pesos Argentinos
A-0001-00000156,Nicolasen y Asociados S.A.,28/7/18,Factura,Publicidad y Marketing,10000,45000,450000000,Pesos Argentinos
B-0001-00000081,Etigand S.A.,20/7/18,Factura,Consultoria Digital,10000,24380,243801700,Pesos Argentinos
A-0001-00000155,Donadelli S.R.L,14/7/18,Factura,Publicidad y Marketing,10000,75000,750000000,Pesos Argentinos
B-0001-00000080,Javier Moroni,12/7/18,Factura,Honorarios,10000,31405,314049600,Pesos Argentinos
A-0001-00000154,Hernandez S.A.,8/7/18,Factura,Consultoria Digital,10000,35000,350000000,Pesos Argentinos
A-0001-00000153,Manganello S.R.L,5/7/18,Factura,Impresora Multifuncion ,50000,2400,120000000,Pesos Argentinos
A-0001-00000152,Nicolasen y Asociados S.A.,3/7/18,Factura,PC,100000,8500,850000000,Pesos Argentinos
B-0001-00000079,Javier Moroni,1/7/18,Factura,Publicidad y Marketing,10000,23141,231405000,Pesos Argentinos
A-0001-00000147,Manganello S.R.L,30/6/18,Factura,Publicidad y Marketing,10000,35000,350000000,Pesos Argentinos
B-0001-00000078,Javier Moroni,30/6/18,Factura,PC,10000,26446,264462800,Pesos Argentinos
A-0001-00000151,Nicolasen y Asociados S.A.,30/6/18,Factura,Impresora Multifuncion ,60000,4200,252000000,Pesos Argentinos
A-0001-00000147,Manganello S.R.L,30/6/18,Factura,Consultoria Digital,10000,25000,250000000,Pesos Argentinos
A-0001-00000150,Manganello S.R.L,30/6/18,Factura,Honorarios,10000,24000,240000000,Pesos Argentinos
A-0001-00000149,Manganello S.R.L,30/6/18,Factura,Publicidad y Marketing,10000,18500,185000000,Pesos Argentinos
A-0001-00000148,Hernandez S.A.,30/6/18,Factura,Consultoría,10000,18000,180000000,Pesos Argentinos
B-0001-00000077,Javier Moroni,28/6/18,Factura,Parlantes para PC,60000,1000,60000000,Pesos Argentinos
A-0001-00000146,Donadelli S.R.L,26/6/18,Factura,Consultoría,10000,15000,150000000,Pesos Argentinos
B-0001-00000076,Etigand S.A.,25/6/18,Factura,Diseño Web,10000,12397,123966900,Pesos Argentinos
A-0001-00000145,Galardon S.A.,19/6/18,Factura,PC,50000,12000,600000000,Pesos Argentinos
A-0001-00000144,Donadelli S.R.L,8/6/18,Factura,Consultoria Web,10000,15000,150000000,Pesos Argentinos
B-0001-00000075,Javier Moroni,1/6/18,Factura,Diseño Web,10000,13223,132231400,Pesos Argentinos
A-0001-00000143,Horizonte S.A.,18/5/18,Factura,PC,40000,600,24000000,Dólares
A-0001-00000142,Nicolasen y Asociados S.A.,12/5/18,Factura,Monitores,100000,16000,1600000000,Pesos Argentinos
A-0001-00000142,Nicolasen y Asociados S.A.,12/5/18,Factura,Publicidad y Marketing,10000,17500,175000000,Pesos Argentinos
A-0001-00000142,Nicolasen y Asociados S.A.,12/5/18,Factura,Consultoria Digital,10000,15000,150000000,Pesos Argentinos
A-0001-00000141,Ignition S.A.C.I,8/5/18,Factura,Diseño Web,10000,18000,180000000,Pesos Argentinos
B-0001-00000074,Ferrari Hnos S.A.,4/5/18,Factura,Publicidad y Marketing,10000,20661,206611600,Pesos Argentinos
A-0001-00000140,Berker S.R.L,1/5/18,Factura,Consultoría,10000,15000,150000000,Pesos Argentinos
A-0001-00000139,Galardon S.A.,30/4/18,Factura,Impresora Multifuncion ,90000,1800,162000000,Pesos Argentinos
B-0001-00000073,Javier Moroni,30/4/18,Factura,Publicidad y Marketing,10000,11570,115702500,Pesos Argentinos
B-0001-00000072,Etigand S.A.,29/4/18,Factura,Consultoria Web,10000,100000,1000000000,Pesos Argentinos
A-0001-00000138,Galardon S.A.,17/4/18,Factura,Diseño Web,10000,19000,190000000,Pesos Argentinos
A-0001-00000137,Horizonte S.A.,10/4/18,Factura,Consultoria Web,10000,12500,125000000,Pesos Argentinos
A-0001-00000136,Hernandez S.A.,2/4/18,Factura,Honorarios,10000,58000,580000000,Pesos Argentinos
A-0001-00000135,Nicolasen y Asociados S.A.,31/3/18,Factura,Consultoria Digital,10000,15000,150000000,Pesos Argentinos
B-0001-00000071,Javier Moroni,14/3/18,Factura,Publicidad y Marketing,10000,53719,537190100,Pesos Argentinos
A-0001-00000134,Galardon S.A.,8/3/18,Factura,Honorarios,10000,65000,650000000,Pesos Argentinos
A-0001-00000133,Donadelli S.R.L,1/3/18,Factura,Publicidad y Marketing,10000,65000,650000000,Pesos Argentinos
A-0001-00000132,Jameson SRL,28/2/18,Factura,Diseño Web,10000,15500,155000000,Pesos Argentinos
A-0001-00000131,Ignition S.A.C.I,21/2/18,Factura,PC,100000,8999,899900000,Pesos Argentinos
A-0001-00000131,Ignition S.A.C.I,21/2/18,Factura,Consultoria Digital,10000,2500,25000000,Pesos Argentinos
A-0001-00000130,Horizonte S.A.,15/2/18,Factura,Diseño Web,10000,25800,258000000,Pesos Argentinos
B-0001-00000070,Etigand S.A.,10/2/18,Factura,Consultoria Digital,10000,2500,25000000,Pesos Argentinos
A-0001-00000129,Berker S.R.L,2/2/18,Factura,Diseño Web,50000,6300,315000000,Pesos Argentinos
A-0001-00000128,Hernandez S.A.,31/1/18,Factura,Diseño Web,50000,6300,315000000,Pesos Argentinos
B-0001-00000069,Etigand S.A.,25/1/18,Factura,Impresora Multifuncion ,80000,3554,284297500,Pesos Argentinos
B-0001-00000069,Etigand S.A.,25/1/18,Factura,Monitores,80000,3306,264462800,Pesos Argentinos
B-0001-00000068,Ferrari Hnos S.A.,1/1/18,Factura,Impresora Multifuncion ,100000,3554,355371900,Pesos Argentinos
B-0001-00000068,Ferrari Hnos S.A.,1/1/18,Factura,Monitores,80000,3306,264462800,Pesos Argentinos
A-0001-00000127,Berker S.R.L,31/12/17,Factura,Consultoría,60000,5000,300000000,Pesos Argentinos
A-0001-00000126,Berker S.R.L,10/12/17,Factura,Impresora Multifuncion ,100000,4300,430000000,Pesos Argentinos
A-0001-00000126,Berker S.R.L,10/12/17,Factura,Monitores,100000,4000,400000000,Pesos Argentinos
B-0001-00000067,Ferrari Hnos S.A.,1/12/17,Factura,Diseño Web,50000,5207,260330600,Pesos Argentinos
A-0001-00000124,Jameson SRL,30/11/17,Factura,Consultoria Web,40000,5890,235600000,Pesos Argentinos
A-0001-00000125,Horizonte S.A.,30/11/17,Factura,Insumos oficina,10000,20000,200000000,Pesos Argentinos
B-0001-00000066,Ferrari Hnos S.A.,10/11/17,Factura,Diseño Web,20000,5207,104132200,Pesos Argentinos
A-0001-00000123,Horizonte S.A.,1/11/17,Factura,Monitores,90000,5890,530100000,Pesos Argentinos
A-0001-00000123,Horizonte S.A.,1/11/17,Factura,Impresora Multifuncion ,50000,4300,215000000,Pesos Argentinos
B-0001-00000065,Etigand S.A.,30/10/17,Factura,Mercaderia de Reventa,350000,826,289256200,Pesos Argentinos
A-0001-00000122,Jameson SRL,25/10/17,Factura,Consultoria Digital,30000,6300,189000000,Pesos Argentinos
B-0001-00000064,Horacio Aguirre,15/10/17,Factura,Diseño Web,10000,5207,52066100,Pesos Argentinos
A-0001-00000121,Amazon Group,1/10/17,Factura,Monitores,100000,4000,400000000,Pesos Argentinos
A-0001-00000121,Amazon Group,1/10/17,Factura,Impresora Multifuncion ,50000,4300,215000000,Pesos Argentinos
A-0001-00000120,Galardon S.A.,30/9/17,Factura,Honorarios,10000,10000,100000000,Pesos Argentinos
B-0001-00000063,Ferrari Hnos S.A.,15/9/17,Factura,Consultoría,100000,2893,289256200,Pesos Argentinos
B-0001-00000062,Etigand S.A.,3/9/17,Factura,Diseño Web,10000,24793,247933900,Pesos Argentinos
A-0001-00000119,Donadelli S.R.L,1/9/17,Factura,Impresora Multifuncion ,50000,4300,215000000,Pesos Argentinos
A-0001-00000119,Donadelli S.R.L,1/9/17,Factura,Parlantes para PC,200000,1000,200000000,Pesos Argentinos
A-0001-00000118,Campomas S.A.,25/8/17,Factura,Diseño Web,10000,6300,63000000,Pesos Argentinos
A-0001-00000118,Campomas S.A.,25/8/17,Factura,Consultoría,10000,5000,50000000,Pesos Argentinos
A-0001-00000117,Berker S.R.L,18/8/17,Factura,Consultoria Web,10000,15000,150000000,Pesos Argentinos
A-0001-00000116,Jameson SRL,14/8/17,Factura,Impresora Multifuncion ,30000,4300,129000000,Pesos Argentinos
A-0001-00000116,Jameson SRL,14/8/17,Factura,Monitores,20000,3650,73000000,Pesos Argentinos
A-0001-00000115,Berker S.R.L,13/8/17,Factura,Materia Prima Importada,20000,5000,100000000,Pesos Argentinos
A-0001-00000114,Campomas S.A.,12/8/17,Factura,Insumos oficina,10000,2500,25000000,Pesos Argentinos
A-0001-00000113,Donadelli S.R.L,10/8/17,Factura,Diseño Web,10000,6300,63000000,Pesos Argentinos
A-0001-00000113,Donadelli S.R.L,10/8/17,Factura,Consultoria Web,10000,5890,58900000,Pesos Argentinos
A-0001-00000112,Campomas S.A.,5/8/17,Factura,Materia Prima Importada,50000,2650,132500000,Pesos Argentinos
B-0001-00000061,Horacio Aguirre,2/8/17,Factura,Consultoría,10000,8678,86776900,Pesos Argentinos
A-0001-00000111,Horizonte S.A.,22/7/17,Factura,Honorarios,10000,10500,105000000,Pesos Argentinos
A-0001-00000111,Horizonte S.A.,22/7/17,Factura,Diseño Web,10000,6300,63000000,Pesos Argentinos
A-0001-00000110,Donadelli S.R.L,21/7/17,Factura,Materia Prima Importada,20000,6300,126000000,Pesos Argentinos
A-0001-00000109,Campomas S.A.,20/7/17,Factura,PC,30000,9500,285000000,Pesos Argentinos
A-0001-00000108,Jameson SRL,20/7/17,Factura,Diseño Web,10000,6850,68500000,Pesos Argentinos
A-0001-00000108,Jameson SRL,20/7/17,Factura,Honorarios,10000,4500,45000000,Pesos Argentinos
A-0001-00000107,Nicolasen y Asociados S.A.,13/7/17,Factura,Monitores,20000,3600,72000000,Pesos Argentinos
A-0001-00000107,Nicolasen y Asociados S.A.,13/7/17,Factura,Parlantes para PC,30000,1000,30000000,Pesos Argentinos
A-0001-00000107,Nicolasen y Asociados S.A.,13/7/17,Factura,Teclado,30000,560,16800000,Pesos Argentinos
A-0001-00000106,Campomas S.A.,4/7/17,Factura,Consultoria Web,10000,9500,95000000,Pesos Argentinos
A-0001-00000105,Manganello S.R.L,22/6/17,Factura,Materia Prima Importada,10000,7400,74000000,Pesos Argentinos
B-0001-00000060,Etigand S.A.,20/6/17,Factura,Modem Router,20000,1364,27272700,Pesos Argentinos
A-0001-00000104,Berker S.R.L,18/6/17,Factura,Mercaderia de Reventa,30000,3200,96000000,Pesos Argentinos
A-0001-00000103,Galardon S.A.,17/6/17,Factura,Servicios Profesionales,10000,12000,120000000,Pesos Argentinos
B-0001-00000059,Etigand S.A.,15/6/17,Factura,Impresora Multifuncion ,30000,3554,106611600,Pesos Argentinos
B-0001-00000059,Etigand S.A.,15/6/17,Factura,Cable RGB para video,20000,207,4132200,Pesos Argentinos
A-0001-00000102,Donadelli S.R.L,12/6/17,Factura,Consultoria Digital,10000,6300,63000000,Pesos Argentinos
A-0001-00000100,Donadelli S.R.L,10/6/17,Factura,Monitores,20000,4000,80000000,Pesos Argentinos
A-0001-00000101,Berker S.R.L,10/6/17,Factura,Consultoría,10000,5000,50000000,Pesos Argentinos
A-0001-00000100,Donadelli S.R.L,10/6/17,Factura,Parlantes para PC,20000,1000,20000000,Pesos Argentinos
A-0001-00000099,Klarkson,7/6/17,Factura,Modem Router,40000,2300,92000000,Pesos Argentinos
B-0001-00000058,Javier Moroni,3/6/17,Factura,Diseño Web,10000,5207,52066100,Pesos Argentinos
A-0001-00000098,Horizonte S.A.,2/6/17,Factura,Impresora Multifuncion ,20000,4300,86000000,Pesos Argentinos
A-0001-00000098,Horizonte S.A.,2/6/17,Factura,Insumos oficina,10000,1500,15000000,Pesos Argentinos
B-0001-00000057,Valeria Welponer,9/5/17,Factura,Televisor Led Samsung 32  Hd Con Soporte Y Control,20000,5785,115702500,Pesos Argentinos
B-0001-00000057,Valeria Welponer,9/5/17,Factura,Parlantes para PC,30000,1240,37190100,Pesos Argentinos
B-0001-00000056,Ferrari Hnos S.A.,7/5/17,Factura,Impresora Multifuncion ,40000,3554,142148800,Pesos Argentinos
A-0001-00000097,Hernandez S.A.,7/5/17,Factura,Honorarios,10000,7000,70000000,Pesos Argentinos
A-0001-00000097,Hernandez S.A.,7/5/17,Factura,Consultoria Digital,10000,6900,69000000,Pesos Argentinos
A-0001-00000096,Jameson SRL,6/5/17,Factura,Televisor Led Samsung 32  Hd Con Soporte Y Control,20000,6000,120000000,Pesos Argentinos
A-0001-00000095,Campomas S.A.,6/5/17,Factura,Impresora Multifuncion ,20000,5890,117800000,Pesos Argentinos
A-0001-00000094,Klarkson,4/5/17,Factura,Publicidad y Marketing,10000,7400,74000000,Pesos Argentinos
A-0001-00000093,Campomas S.A.,3/5/17,Factura,Diseño Web,10000,6300,63000000,Pesos Argentinos
A-0001-00000093,Campomas S.A.,3/5/17,Factura,Honorarios,10000,5000,50000000,Pesos Argentinos
A-0001-00000092,Hernandez S.A.,11/4/17,Factura,Honorarios,10000,10000,100000000,Pesos Argentinos
A-0001-00000092,Hernandez S.A.,11/4/17,Factura,Diseño Web,10000,3000,30000000,Pesos Argentinos
B-0001-00000055,Javier Moroni,8/4/17,Factura,Impresora Multifuncion ,30000,3554,106611600,Pesos Argentinos
B-0001-00000055,Javier Moroni,8/4/17,Factura,Parlantes para PC,30000,826,24793400,Pesos Argentinos
A-0001-00000091,Hernandez S.A.,7/4/17,Factura,Consultoria Web,10000,12000,120000000,Pesos Argentinos
A-0001-00000090,Berker S.R.L,7/4/17,Factura,Consultoria Web,10000,8000,80000000,Pesos Argentinos
B-0001-00000054,Juan Vidauli,5/4/17,Factura,PC,30000,4132,123966900,Pesos Argentinos
B-0001-00000054,Juan Vidauli,5/4/17,Factura,Televisor Led Samsung 32  Hd Con Soporte Y Control,20000,2893,57851200,Pesos Argentinos
A-0001-00000089,Horizonte S.A.,3/4/17,Factura,Monitores,20000,4000,80000000,Pesos Argentinos
B-0001-00000053,Juan Lopez,3/4/17,Factura,Materia Prima Importada,50000,1200,60000000,Pesos Argentinos
A-0001-00000089,Horizonte S.A.,3/4/17,Factura,Parlantes para PC,30000,1000,30000000,Pesos Argentinos
A-0001-00000088,Manganello S.R.L,16/3/17,Factura,Consultoria Web,10000,6000,60000000,Pesos Argentinos
A-0001-00000087,Hernandez S.A.,13/3/17,Factura,Monitores,50000,5000,250000000,Pesos Argentinos
A-0001-00000086,Ignition S.A.C.I,13/3/17,Factura,Impresora Multifuncion ,30000,4300,129000000,Pesos Argentinos
B-0001-00000052,Ferrari Hnos S.A.,13/3/17,Factura,Honorarios,10000,12397,123966900,Pesos Argentinos
A-0001-00000085,Galardon S.A.,10/3/17,Factura,Monitores,30000,4000,120000000,Pesos Argentinos
A-0001-00000084,Algorte S.A.,3/3/17,Factura,Diseño Web,10000,10000,100000000,Pesos Argentinos
A-0001-00000082,Manganello S.R.L,28/2/17,Factura,Consultoria Web,20000,6300,126000000,Pesos Argentinos
A-0001-00000082,Manganello S.R.L,28/2/17,Factura,Diseño Web,20000,6300,126000000,Pesos Argentinos
A-0001-00000083,Nicolasen y Asociados S.A.,28/2/17,Factura,Consultoria Web,20000,5890,117800000,Pesos Argentinos
A-0001-00000083,Nicolasen y Asociados S.A.,28/2/17,Factura,Honorarios,10000,6000,60000000,Pesos Argentinos
B-0001-00000051,Etigand S.A.,23/2/17,Factura,Impresora Multifuncion ,40000,3554,142148800,Pesos Argentinos
B-0001-00000050,Ferrari Hnos S.A.,14/2/17,Factura,Consultoría,30000,4132,123966900,Pesos Argentinos
A-0001-00000081,Campomas S.A.,1/2/17,Factura,Diseño Web,10000,6300,63000000,Pesos Argentinos
B-0001-00000049,Ferrari Hnos S.A.,23/1/17,Factura,Monitores,30000,3306,99173600,Pesos Argentinos
B-0001-00000048,Ferrari Hnos S.A.,10/1/17,Factura,PC,20000,7025,140495900,Pesos Argentinos
A-0001-00000080,Galardon S.A.,10/1/17,Factura,Diseño Web,10000,6300,63000000,Pesos Argentinos
B-0001-00000048,Ferrari Hnos S.A.,10/1/17,Factura,Monitores,10000,3306,33057900,Pesos Argentinos
B-0001-00000047,Etigand S.A.,6/1/17,Factura,Monitores,30000,3306,99173600,Pesos Argentinos
B-0001-00000047,Etigand S.A.,6/1/17,Factura,Parlantes para PC,40000,826,33057900,Pesos Argentinos
B-0001-00000047,Etigand S.A.,6/1/17,Factura,Mouse,30000,744,22314100,Pesos Argentinos
A-0001-00000079,Berker S.R.L,5/1/17,Factura,Mercaderia de Reventa,10000,7000,70000000,Pesos Argentinos
A-0001-00000078,Amazon Group,3/1/17,Factura,Consultoria Web,10000,5890,58900000,Pesos Argentinos
A-0001-00000077,Donadelli S.R.L,2/1/17,Factura,Honorarios,10000,10500,105000000,Pesos Argentinos

